POI_ID *,LATITUDE,LONGTITUDE,STREET_NO,STREET,CITY,PROVINCE,COUNTRY,POSTAL_CODE,BRAND_NAME,FEATURE_NAME
11129900012,46.795421,-71.375219,,573 RUE PRINCIPALE,QUÉBEC,QC,CA,,JEAN LESAGE INTERNATIONAL AIRPORT,YQB
11129900013,42.264332,-82.961888,,2901 CR-42,TECUMSEH,ON,CA,,WINDSOR AIRPORT,YQG
11129900014,46.115611,-64.69758,,VETERANS HWY,DIEPPE,NB,CA,,GREATER MONCTON AIRPORT,YQM
11129900015,49.702861,-124.916278,,1499 KNIGHT RD,COMOX,BC,CA,,COMOX VELLEY AIRPORT,YQQ
11129900016,50.434859,-104.644768,,REGINA AVE,REGINA,SK,CA,,REGINA AIRPORT,YQR
11129900017,48.37326,-89.309348,,200 SIFTON AVE,THUNDER BAY,ON,CA,,THUNDER BAY INTERNATIONAL AIRPORT,YQT
11129900018,43.635648,-79.3983,,5 BATHURST ST,TORONTO,ON,CA,,TORONTO CITY CENTRE AIRPORT,YTZ
11129900019,45.450519,-73.751939,,975 BOULEVARD ALBERT-DE-NIVERVILLE,MONTRÉAL,QC,CA,,AÉROPORT INTERNATIONAL P-E-TRUDEAU DE MTL AIRPORT,YUL
11129900020,49.19328,-123.15065,,GRANT MCCONACHIE WAY,RICHMOND,BC,CA,,VANCOUVER INTERNATIONAL AIRPORT,YVR
11129900021,49.901591,-97.209308,,1821 WELLINGTON AVE,WINNIPEG,MB,CA,,WINNIPEG INTERNATIONAL AIRPORT,YWG
11129900022,52.188181,-122.083138,,AIRPORT RD,CARIBOO,BC,CA,,WILLIAMS LAKE AIRPORT,YWL
11129900023,53.568548,-113.526399,,198 AIRPORT RD NW,EDMONTON,AB,CA,,EDMONTON CITY CENTRE AIRPORT,YXD
11129900024,52.16794,-106.688368,,2564 AIRPORT DR,SASKATOON,SK,CA,,JOHN G DIEFENBAKER INT AIRPORT,YXE
11129900025,53.865789,-122.65655,,8150 JOHNSON RD,FRASER-FORT GEORGE,BC,CA,,PRINCE GEORGE AIRPORT,YXS
11129900026,54.5106,-128.557327,,4199 SUBSTATION AVE,KITIMAT-STIKINE,BC,CA,,NORTHWEST REGIONAL AIRPORT TERRACE-KITIMAT,YXT
11129900027,43.024231,-81.153758,,1750 CRUMLIN SDRD,LONDON,ON,CA,,LONDON INTERNATIONAL AIRPORT,YXU
11129900028,49.020511,-122.387237,,1658 LIBERATOR AVE,ABBOTSFORD,BC,CA,,ABBOTSFORD INTERNATIONAL AIRPORT,YXX
11129900029,46.35497,-79.424019,,1297 AIRPORT RD,NORTH BAY,ON,CA,,NORTH BAY JACK GARLAND AIRPORT,YYB
11129900030,51.139411,-114.01327,,AIRPORT TRL NE,CALGARY,AB,CA,,CALGARY INTERNATIONAL AIRPORT,YYC
11129900031,49.457513,-119.60709,,3298 AIRPORT RD,PENTICTON,BC,CA,,PENTICTON REGIONAL AIRPORT,YYF
11129900032,46.284701,-63.13738,,298 SHERWOOD RD,CHARLOTTETOWN,PEI,CA,,CHARLOTTETOWN AIRPORT,YYG
11129900033,48.638102,-123.430609,,1600 ELECTRA BLVD,NORTH SAANICH,BC,CA,,VICTORIA INTERNATIONAL AIRPORT,YYJ
11129900034,43.68588,-79.606911,,5836 JETLINER RD,MISSISSAUGA,ON,CA,,LESTER B PEARSON INTERNATIONAL AIRPORT,YYZ
11129900036,48.342911,-71.005619,,RTE-170,SAGUENAY,QC,CA,,AEROPORT DE BAGOTVILLE,YBG
11129900037,48.94669,-54.58187,,JAMES BLVD,GANDER,NL,CA,,GANDER INTERNATIONAL AIRPORT,YQX
11129900038,44.219542,-76.593936,,LEN BIRCHALL WAY,KINGSTON,ON,CA,,NORMAN ROGERS AIRPORT,YGK
11129900039,43.44885,-80.390551,,RIVERBANK DR,WOOLWICH,ON,CA,,REGION OF WATERLOO INT'L AIRPORT,YKF
11129900040,45.682092,-74.049339,,RUE LOUIS-BISSON,MIRABEL,QC,CA,,AEROPORT INT'L DE MONTREAL-MIRABEL,YMX
11129900041,49.053749,-123.877408,,SPIT FIRE RD,NANAIMO DISTRICT,BC,CA,,NANAIMO AIRPORT,YCD
11129900042,45.331219,-65.889209,,GREENWOOD LN,SAINT JOHN,NB,CA,,SAINT JOHN AIRPORT,YSJ
11129900043,47.60914,-52.742417,,RADIO RANGE RD,SAINT JOHN'S,NL,CA,,ST  JOHN'S INTERNATIONAL AIRPORT,YYT
11129900045,42.993961,-82.309789,,UBE RD,SARNIA,ON,CA,,SARNIA CHRIS HADFIELD AIRPORT,YZR
11129900046,46.611679,-80.815398,,PRIVATE RD,GREATER SUDBURY,ON,CA,,GREATER SUDBURY AIRPORT,YSB
11129900047,46.167294,-60.048136,,SILVER DART WAY,CAPE BRETON,NS,CA,,SYDNEY AIRPORT,YQY
11129900048,48.52966,-81.377151,,KRAFT CREEK BLVD,TIMMINS,ON,CA,,TIMMINS AIRPORT,YTS
11129900049,60.714842,-135.081911,,OTTER RD,WHITEHORSE,YT,CA,,WHITEHORSE INTERNATIONAL AIRPORT,YXY
11129900050,62.466923,-114.413722,,AIRPORT ST,YELLOWKNIFE,NT,CA,,YELLOWKNIFE AIRPORT,YZF
11128100000,25.789871,-100.141844,,CARRETERA A CIUDAD MIGUEL ALEMAN,NUEVO LEON,NUEVO LEON,MX,9000,AEROPUERTO INT'L MARIANO ESCOBEDO,MTY
11128100001,20.530277,-103.29436,,SOLIDARIDAD IBEROAMERICANA,TLAQUEPAQUE,JALISCO,MX,45500,AEROPUERTO INT'L MIGUEL HIDALGO GDL,GDL
11128100002,19.435047,-99.084575,,393 CIRCUITO INTERIOR,PENON DE LOS BANOS,DISTRITO FEDERAL,MX,15000,AEROPUERTO INT'L BENITO JUAREZ,MEX
11128100003,16.762862,-99.753986,,,ACAPULCO,GURRERO,MX,,GEN JUAN N ALVAREZ INTL,ACA
11128100004,26.321721,-99.548078,,,AGUALEGUAS,NUEVO LEÓN,MX,,AGUALEGUAS,MMAL
11128100005,25.859588,-100.237763,,,MONTERREY,NUEVO LEÓN,MX,,DEL NORTE INTL,NTR
